time,open,high,low,close,amount,volume,preclose
20091202,24.27,24.740000000000002,24.26,24.38,836075200.0,34110019,2419
20091203,24.2,24.37,23.7,23.95,812890752.0,33920936,2438
20091204,23.95,25.35,23.57,25.3,1960035200.0,79096047,2395
20091207,25.07,25.79,24.900000000000002,25.36,1068545152.0,42171046,2530
20091208,25.43,25.43,24.62,24.77,778444672.0,31247399,2536
20091209,24.7,24.82,24.400000000000002,24.650000000000002,499576640.0,20284418,2477
20091210,24.8,25.2,24.6,24.89,476462784.0,19128298,2465
20091211,24.89,25.25,24.71,24.990000000000002,436689792.0,17443680,2489
20091214,24.76,25.8,23.990000000000002,25.5,1000935104.0,40029297,2499
20091215,25.25,25.7,25.01,25.080000000000002,628406656.0,24853355,2550
20091216,24.900000000000002,25.45,24.77,24.85,401527616.0,16009055,2508
20091217,24.900000000000002,25.2,24.400000000000002,24.51,448143104.0,18139668,2485
20091218,24.29,24.560000000000002,23.92,23.93,478154144.0,19786271,2451
20091221,23.85,24.14,23.0,23.56,405556992.0,17264906,2393
20091222,23.63,23.68,22.650000000000002,22.72,339795424.0,14731918,2356
20091223,22.76,23.06,22.28,22.55,483286336.0,21340199,2272
20091224,22.650000000000002,23.31,22.46,23.28,672728256.0,29402860,2255
20091229,23.400000000000002,23.81,23.0,23.59,571177472.0,24343903,2328
20091230,23.59,24.53,23.42,24.39,877732160.0,36333042,2359
20091231,24.38,24.69,24.09,24.37,523456320.0,21476184,2439
20100104,24.52,24.580000000000002,23.68,23.71,580249472.0,24192276,2437
20100105,23.75,23.900000000000002,22.75,23.3,1293476992.0,55649982,2371
20100106,23.25,23.25,22.72,22.900000000000002,944453696.0,41214313,2330
20100107,22.900000000000002,23.05,22.400000000000002,22.650000000000002,804166336.0,35533685,2290
20100108,22.5,22.75,22.35,22.6,650667392.0,28854306,2265
20100111,23.5,23.68,22.28,22.6,1009985536.0,44284602,2260
20100112,22.57,22.650000000000002,21.8,22.45,1310068992.0,59179591,2260
20100113,21.87,21.900000000000002,20.8,20.96,1990492800.0,93503947,2245
20100114,21.0,21.16,20.6,20.97,1089329408.0,52119474,2096
20100115,21.02,21.650000000000002,20.650000000000002,21.43,1146375296.0,53950846,2097
20100118,21.43,21.76,21.21,21.47,749941248.0,34912652,2143
20100119,21.580000000000002,22.34,21.56,22.23,1438886656.0,65071514,2147
20100120,22.22,22.6,21.3,21.38,1079325952.0,49083567,2223
20100121,21.580000000000002,22.8,21.38,22.68,1405279488.0,63230130,2138
20100122,22.44,23.45,21.88,23.080000000000002,2002921984.0,88253896,2268
20100125,22.6,23.1,22.1,22.19,803320192.0,35605864,2308
20100126,22.19,22.59,21.6,22.05,760432384.0,34532556,2219
20100127,22.39,22.6,21.7,21.91,892337344.0,40103476,2205
20100128,21.8,22.05,21.11,21.75,567566976.0,26213249,2191
20100129,21.59,22.35,21.32,21.7,528437728.0,24068821,2175
20100201,21.71,21.77,21.0,21.240000000000002,602675200.0,28317991,2170
20100202,21.26,21.96,21.26,21.37,620475776.0,28673360,2124
20100203,21.53,22.580000000000002,21.240000000000002,22.580000000000002,1214267904.0,54900574,2137
20100204,22.330000000000002,22.45,22.01,22.2,675283328.0,30334603,2258
20100205,21.62,22.32,21.41,22.0,601515200.0,27617400,2220
20100208,21.88,22.080000000000002,21.45,21.56,447137536.0,20642307,2200
20100209,21.6,22.150000000000002,21.53,22.0,543120256.0,24817026,2156
20100210,22.2,22.38,22.02,22.28,564177472.0,25383964,2200
20100211,22.21,22.35,22.080000000000002,22.11,308844864.0,13910229,2228
20100212,22.17,22.6,22.17,22.45,422488288.0,18838563,2211
20100222,22.31,22.45,22.080000000000002,22.1,367933696.0,16577759,2245
20100223,22.03,22.05,21.400000000000002,21.55,513377952.0,23778128,2210
20100224,21.41,21.79,21.22,21.71,497531456.0,23148645,2155
20100225,21.67,22.41,21.61,22.150000000000002,770836544.0,34787898,2171
20100226,22.01,22.62,21.98,22.45,1008966464.0,45021730,2215
20100302,22.89,23.96,22.89,23.11,1599219840.0,68464727,2245
20100303,23.11,23.35,22.8,23.3,655444672.0,28411139,2311
20100304,23.32,23.63,23.0,23.1,877389760.0,37632084,2330
20100305,23.1,23.490000000000002,23.05,23.27,681193920.0,29184210,2310
20100308,23.32,24.05,23.06,23.85,1045698944.0,44105392,2327
20100309,23.88,24.27,23.5,23.82,943966336.0,39436014,2385
20100310,23.71,24.080000000000002,23.35,23.400000000000002,499356448.0,21105884,2382
20100311,23.55,23.97,23.39,23.66,571453888.0,24121835,2340
20100312,23.55,23.55,22.88,22.92,655910208.0,28307335,2366
20100315,22.88,22.88,22.2,22.39,424857088.0,18908995,2292
20100316,22.39,22.63,22.240000000000002,22.55,441221888.0,19684875,2239
20100317,22.62,23.2,22.46,23.19,441162464.0,19285971,2255
20100318,23.25,23.5,22.98,23.05,507527264.0,21815220,2319
20100319,23.05,23.2,22.7,23.04,404284736.0,17661472,2305
20100322,22.93,23.42,22.93,23.150000000000002,453198688.0,19525678,2304
20100323,23.2,23.26,22.71,22.830000000000002,365560032.0,15934945,2315
20100324,22.85,23.2,22.740000000000002,22.8,484336288.0,21098292,2283
20100325,22.76,22.77,22.28,22.3,372184256.0,16607431,2280
20100326,22.3,23.09,22.17,22.81,509149248.0,22346079,2230
20100329,22.96,23.86,22.79,23.56,1044826240.0,44416328,2281
20100330,23.63,23.78,23.34,23.650000000000002,595446848.0,25304341,2356
20100331,23.650000000000002,23.67,23.080000000000002,23.2,710514240.0,30554950,2365
20100401,23.27,23.6,23.07,23.400000000000002,712145600.0,30515892,2320
20100402,23.46,23.5,23.21,23.43,457640288.0,19590002,2340
20100406,23.56,23.86,23.26,23.37,556583872.0,23650932,2343
20100407,23.35,23.43,22.68,22.85,730335808.0,31842226,2337
20100408,22.82,22.830000000000002,22.32,22.57,1009933568.0,44838723,2285
20100409,22.57,22.740000000000002,22.5,22.66,498836800.0,22040960,2257
20100412,22.72,22.76,21.94,22.09,1098010880.0,49477064,2266
20100413,22.17,22.61,22.05,22.400000000000002,1003910848.0,44918697,2209
20100414,22.400000000000002,22.45,22.03,22.23,734720512.0,33185241,2240
20100415,22.28,22.400000000000002,21.98,22.400000000000002,790372992.0,35701750,2223
20100416,22.28,22.28,21.98,22.01,632291264.0,28646797,2240
20100419,21.55,21.580000000000002,19.990000000000002,20.080000000000002,1708546688.0,82687425,2201
20100420,20.12,20.330000000000002,19.5,19.77,858886272.0,43513433,2008
20100421,19.81,20.16,19.6,20.13,742144448.0,37358846,1977
20100422,20.0,20.0,19.31,19.59,884329024.0,45221008,2013
20100423,19.64,20.56,19.39,20.16,1106582144.0,55604571,1959
20100426,20.0,20.35,19.7,19.94,647506048.0,32231493,2016
20100427,19.78,20.21,19.55,19.85,692500032.0,34890388,1994
20100428,19.740000000000002,20.18,19.6,20.14,668218560.0,33493883,1985
20100429,20.32,20.63,20.13,20.17,749244096.0,36824242,2014
20100430,20.25,20.59,20.14,20.56,662829184.0,32434462,2017
20100504,20.1,20.3,19.77,20.0,574413568.0,28674710,2056
20100505,20.09,20.22,19.36,19.900000000000002,1283692544.0,65042244,2000
20100506,19.69,19.69,18.31,18.400000000000002,1296218496.0,68579660,1990
20100507,18.03,18.55,17.95,18.26,752185920.0,41257999,1840
20100510,18.35,18.68,18.19,18.43,710974016.0,38641688,1826
20100511,18.86,18.89,17.46,17.47,1017121600.0,56171655,1843
20100512,17.3,18.3,17.16,18.11,931251264.0,52104082,1747
20100513,18.01,18.92,18.0,18.68,1049525952.0,56752700,1811
20100514,18.68,18.69,18.2,18.35,487732512.0,26562824,1868
20100517,18.0,18.02,17.34,17.43,574713344.0,32660779,1835
20100518,17.5,18.11,17.3,17.97,641553728.0,36190091,1743
20100519,17.740000000000002,18.17,17.41,17.76,456208288.0,25635625,1797
20100520,17.57,18.05,17.48,17.55,387168256.0,21828949,1776
20100521,17.1,17.87,17.02,17.82,386738336.0,22079549,1755
20100524,17.92,18.6,17.92,18.39,582619392.0,31791566,1782
20100525,18.2,18.25,17.75,17.79,441872576.0,24594616,1839
20100526,17.88,18.17,17.81,17.900000000000002,308368928.0,17161115,1779
20100527,17.87,18.12,17.46,18.07,496702080.0,27816665,1790
20100528,18.25,18.39,18.02,18.080000000000002,461689408.0,25397440,1807
20100531,17.900000000000002,18.2,17.5,17.51,480683776.0,27045758,1808
20100601,17.43,17.69,17.19,17.3,379058912.0,21809102,1751
20100602,17.25,17.41,16.92,17.23,430720704.0,25125605,1730
20100603,17.31,17.71,17.22,17.22,501143168.0,28756178,1723
20100604,17.21,17.5,17.16,17.3,232824768.0,13473513,1722
20100607,17.1,17.3,16.81,16.91,410550912.0,24149327,1730
20100608,16.92,17.02,16.5,16.7,286156160.0,17033017,1691
20100609,16.79,17.79,16.580000000000002,17.67,857978624.0,49574374,1670
20100610,17.27,17.47,17.080000000000002,17.11,489563040.0,28464074,1767
